timestamp,domain,query_type,dnssec,protocol,client_ip,status,reasons,destination_country,root_domain,device_id,device_name,device_model,device_local_ip,matched_name,client_name
2026-06-03T09:35:13.142Z,geller-pa.googleapis.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blocklist:hagezi-multi-ultimate",,geller-pa.googleapis.com,,,,,,
2026-06-03T09:35:13.099Z,geller-pa.googleapis.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blocklist:hagezi-multi-ultimate",,geller-pa.googleapis.com,,,,,,
2026-06-03T09:34:59.427Z,www.inhab.claro.com.gt,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,claro.com.gt,,,,,,
2026-06-03T09:34:59.384Z,www.inhab.claro.com.gt,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,claro.com.gt,,,,,,
2026-06-03T09:34:59.061Z,www.oneprotaro.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,oneprotaro.com,,,,,,
2026-06-03T09:34:59.017Z,www.oneprotaro.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,oneprotaro.com,,,,,,
2026-06-03T09:34:58.683Z,f2ppch.cl,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,f2ppch.cl,,,,,,
2026-06-03T09:34:58.637Z,f2ppch.cl,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,f2ppch.cl,,,,,,
2026-06-03T09:34:57.803Z,www.pprdfa.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,pprdfa.com,,,,,,
2026-06-03T09:34:57.717Z,www.pprdfa.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,pprdfa.com,,,,,,
2026-06-03T09:34:57.384Z,www.ppecufa.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,ppecufa.com,,,,,,
2026-06-03T09:34:57.340Z,www.ppecufa.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,ppecufa.com,,,,,,
2026-06-03T09:34:57.012Z,www.forcis.claro.com.co,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,claro.com.co,,,,,,
2026-06-03T09:34:56.965Z,www.forcis.claro.com.co,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,claro.com.co,,,,,,
2026-06-03T09:34:56.645Z,ppmxfa.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,ppmxfa.com,,,,,,
2026-06-03T09:34:56.602Z,ppmxfa.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,ppmxfa.com,,,,,,
2026-06-03T09:34:55.714Z,www.pppefa.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,pppefa.com,,,,,,
2026-06-03T09:34:55.714Z,www.pppefa.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,pppefa.com,,,,,,
2026-06-03T09:34:14.208Z,external-content.duckduckgo.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,duckduckgo.com,,,,,,
2026-06-03T09:34:12.399Z,links.duckduckgo.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,duckduckgo.com,,,,,,
2026-06-03T09:33:52.165Z,argo.svcmot.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:nextdns-recommended,blocklist:hagezi-multi-ultimate,blocklist:steven-black",,svcmot.com,,,,,,
2026-06-03T09:33:52.165Z,argo.svcmot.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:nextdns-recommended,blocklist:hagezi-multi-ultimate,blocklist:steven-black",,svcmot.com,,,,,,
2026-06-03T09:33:26.258Z,web.facebook.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:hagezi-multi-ultimate",,facebook.com,,,,,,
2026-06-03T09:33:26.258Z,web.facebook.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:hagezi-multi-ultimate",,facebook.com,,,,,,
